Sensors,Lat,Long
GAD02_Amstd_29_0,52.37718,4.89505
GAD02_Amstd_30_0,52.37688,4.89498
GAD02_Amstd_31_0,52.38037,4.9022665
GAD02_Amstd_31_2,52.38037,4.9022665
GAD02_Amstd_33_0,52.3919754,4.87650251
GAD02_Amstd_33_2,52.3919754,4.87650251
GAD02_Amstd_34_0,52.38037,4.9022665
GAD02_Amstd_34_2,52.38037,4.9022665
GEO0B_R_RWSTI358610,52.384421,4.815418
GEO0B_R_RWSTI358742,52.34388,4.84054
GEO0B_R_RWSTI358750,52.34827,4.84158
GEO0B_R_RWSTI358751,52.34626,4.84045
GEO0B_R_RWSTI358752,52.35572,4.84271
GEO0B_R_RWSTI358753,52.36111,4.84263
GEO0B_R_RWSTI358754,52.35424,4.84246
GEO0B_R_RWSTI358757,52.36015,4.8423
GEO0B_R_RWSTI358762,52.36775,4.84237
GEO0B_R_RWSTI358763,52.37243,4.84131
GEO0B_R_RWSTI358764,52.37425,4.84287
GEO0B_R_RWSTI358766,52.37182,4.84155
GEO0B_R_RWSTI358831,52.405729,4.854677
GEO0B_R_RWSTI358897,52.422322,4.873084
GEO0B_R_RWSTI358957,52.3389,4.88846
GEO0B_R_RWSTI358958,52.42482,4.88963
GEO0B_R_RWSTI358960,52.42516,4.88158
GEO0B_R_RWSTI358968,52.33489,4.89332
GEO0B_R_RWSTI359033,52.327204,4.913249
GEO0B_R_RWSTI359135,52.33582,4.94131
GEO0B_R_RWSTI359136,52.33793,4.93912
GEO0B_R_RWSTI359199,52.336026,4.942354
GEO0B_R_RWSTI359200,52.33799,4.93946
GEO0B_R_RWSTI359242,52.33912,4.95037
GEO0B_R_RWSTI359244,52.34187,4.9543
GEO0B_R_RWSTI359249,52.34336,4.95512
GEO0B_R_RWSTI359335,52.35304,4.96386
GEO0B_R_RWSTI4341,52.33944,4.841948
GEO0B_R_RWSTI4348,52.375884,4.843188
GEO0B_R_RWSTI4479,52.405868,4.854584
GEO0B_Z_RWSTIN284,52.384328,4.820107
GEO0K_K_RWSTI358765,52.377203,4.844198
GEO0K_K_RWSTI358770,52.37477,4.842335
GEO0K_K_RWSTI358800,52.38401,4.8455
GEO0K_K_RWSTI358801,52.380643,4.845148
GEO0K_K_RWSTI358802,52.383816,4.843906
GEO0K_K_RWSTI358830,52.403585,4.852118
GEO0K_K_RWSTI358835,52.402993,4.851256
GEO0K_K_RWSTI358937,52.423123,4.878474
GEO0K_K_RWSTI358939,52.42506,4.88141
GEO0K_K_RWSTI358971,52.425315,4.889823
GEO0K_K_RWSTI359023,52.329984,4.913996
GEO0K_K_RWSTI359026,52.32496,4.914249
GEO0K_K_RWSTI359330,52.35154,4.96079
GEO0K_R_RWSTI4353,52.33903,4.826592
GZS01_ZND_TI1004-A,52.427005,4.831244
GZS01_ZND_TI1004-B,52.429394,4.839797
GZS01_ZND_TI1008-A,52.428557,4.826266
GZS01_ZND_TI1008-B,52.428598,4.826418
GZS01_ZND_TI1010-A,52.426834,4.819956
GZS01_ZND_TI1010-B,52.426831,4.819947
GZS01_ZND_TI1011-A,52.432727,4.813332
GZS01_ZND_TI1011-B,52.432779,4.813125
PNH02_PNHTI543,52.424504,4.951077
PNH02_PNHTI543r,52.424504,4.951077
PNH02_PNHTI576,52.42402,4.96383
PNH02_PNHTI576r,52.42247,4.961677
PNH02_PNHTI594,52.43098527,4.85558328
PNH02_PNHTI594r,52.430985,4.855583
PNH02_PNHTI595,52.432496,4.874138
PNH02_PNHTI595r,52.432496,4.874138
PNH02_TI881L,52.41373,4.94498
PNH02_TI881R,52.41373,4.94498
RWS01_MONIBAS_0010vwa0057ra,52.34542,4.97708
RWS01_MONIBAS_0010vwa0066ra,52.33903,4.9863
RWS01_MONIBAS_0010vwb0071ra,52.33593,4.99191
RWS01_MONIBAS_0010vwc0033ra,52.35232,4.96319
RWS01_MONIBAS_0010vwc0072ra,52.33635,4.99255
