Row Labels,Lat,Long
GAD02_Amstd_29_0,52.3772,4.8951
GAD02_Amstd_30_0,52.3769,4.895
GAD02_Amstd_31_0,52.3804,4.9023
GAD02_Amstd_31_2,52.3804,4.9023
GAD02_Amstd_33_0,52.392,4.8765
GAD02_Amstd_33_2,52.392,4.8765
GAD02_Amstd_34_0,52.3804,4.9023
GAD02_Amstd_34_2,52.3804,4.9023
GEO02_R_RWSTI4245,52.4165,4.9175
GEO02_R_RWSTI4246,52.4168,4.9178
GEO02_R_RWSTI4345,52.3529,4.8423
GEO02_R_RWSTI4346,52.3529,4.8424
GEO02_R_RWSTI4347,52.3529,4.8424
GEO02_R_RWSTI4348,52.3759,4.8432
GEO02_R_RWSTI4352,52.339,4.8265
GEO02_R_RWSTI4353,52.339,4.8266
GEO02_R_RWSTI4474,52.4029,4.8521
GEO02_R_RWSTI4476,52.4025,4.8519
GEO02_R_RWSTI4477,52.4025,4.8519
GEO02_R_RWSTI4478,52.4029,4.8513
GEO02_R_RWSTI4479,52.4059,4.8546
GEO0B_R_RWSTI359199,52.336,4.9424
GEO0B_R_RWSTI359242,52.3391,4.9504
GEO0B_R_RWSTI359244,52.3419,4.9543
GZS01_ZND_TI1004-A,52.427,4.8312
GZS01_ZND_TI1010-A,52.4268,4.82
GZS01_ZND_TI1010-B,52.4268,4.8199
PNH02_PNHTI543,52.4245,4.9511
PNH02_PNHTI543r,52.4245,4.9511
PNH02_PNHTI576,52.424,4.9638
PNH02_PNHTI576r,52.4225,4.9617
PNH02_TI881L,52.4137,4.945
PNH02_TI881R,52.4137,4.945
RWS01_MONIBAS_0010vwa0057ra,52.3454,4.9771
RWS01_MONIBAS_0010vwa0066ra,52.339,4.9863
RWS01_MONIBAS_0010vwb0071ra,52.3359,4.9919
RWS01_MONIBAS_0010vwc0033ra,52.3523,4.9632
RWS01_MONIBAS_0010vwc0072ra,52.3364,4.9925
RWS01_MONIBAS_0010vwd0058ra,52.3449,4.979
RWS01_MONIBAS_0010vwd0066ra,52.3393,4.9868
RWS01_MONIBAS_0010vwf0047ra,52.3506,4.9656
RWS01_MONIBAS_0010vwn0072ra,52.3363,4.9924
RWS01_MONIBAS_0010vwn0075ra,52.3346,4.9974
RWS01_MONIBAS_0010vwp0072ra,52.336,4.9922
RWS01_MONIBAS_0010vwp0075ra,52.3375,4.9895
RWS01_MONIBAS_0010vwp0078ra,52.3331,5.003
RWS01_MONIBAS_0010vwp0080ra,52.3331,5.003
RWS01_MONIBAS_0010vwp0083ra,52.3331,5.003
RWS01_MONIBAS_0010vwq0071ra,52.3362,4.9923
RWS01_MONIBAS_0010vwq0075ra,52.3324,5.0149
RWS01_MONIBAS_0010vwq0078ra,52.3324,5.0149
RWS01_MONIBAS_0010vwq0080ra,52.3324,5.0149
RWS01_MONIBAS_0010vwq0083ra,52.3324,5.0149
RWS01_MONIBAS_0011hrl0033ra,52.3438,4.9553
RWS01_MONIBAS_0011hrl0037ra,52.347,4.9584
RWS01_MONIBAS_0011hrl0041ra,52.3501,4.9608
RWS01_MONIBAS_0011hrl0041rb,52.3501,4.9608
RWS01_MONIBAS_0011hrl0047ra,52.3516,4.9659
RWS01_MONIBAS_0011hrl0051ra,52.3488,4.9699
RWS01_MONIBAS_0011hrl0051rb,52.3488,4.9699
RWS01_MONIBAS_0011hrl0054ra,52.3474,4.9736
RWS01_MONIBAS_0011hrl0057ra,52.3457,4.9774
RWS01_MONIBAS_0011hrl0061ra,52.3432,4.9815
RWS01_MONIBAS_0011hrl0066ra,52.3393,4.9866
RWS01_MONIBAS_0011hrl0070ra,52.3373,4.99
RWS01_MONIBAS_0011hrl0072ra,52.3362,4.9924
RWS01_MONIBAS_0011hrl0075ra,52.3345,4.9972
RWS01_MONIBAS_0011hrr0040ra,52.3523,4.9632
RWS01_MONIBAS_0011hrr0046ra,52.3502,4.9641
RWS01_MONIBAS_0011hrr0052ra,52.3478,4.9719
RWS01_MONIBAS_0011hrr0055ra,52.3467,4.9745
RWS01_MONIBAS_0011hrr0061ra,52.343,4.9813
RWS01_MONIBAS_0011hrr0064ra,52.3406,4.9844
RWS01_MONIBAS_0011hrr0070ra,52.3371,4.9898
RWS01_MONIBAS_0011hrr0071ra,52.3361,4.992
RWS01_MONIBAS_0011hrr0075ra,52.3346,4.9958
RWS01_MONIBAS_0011hrr0078ra,52.3335,4.9998
